id,msu_email,password,role,created_at,is_blocked
63,katrina.bryant63@my.msutexas.edu,4bR0kbI8)9,user,2025-04-20 16:46:20.334534+00:00,False
64,alexandra.garner64@my.msutexas.edu,#OnBV5xs^9,user,2025-04-20 16:46:20.334804+00:00,False
65,vicki.mckinney65@my.msutexas.edu,^%+H&U&_r5,user,2025-04-20 16:46:20.335060+00:00,False
66,teresa.shah66@my.msutexas.edu,%aWmMTwT43,user,2025-04-20 16:46:20.335315+00:00,False
67,kara.wilson67@my.msutexas.edu,2!64S3VlD9,user,2025-04-20 16:46:20.335546+00:00,False
68,briana.willis68@my.msutexas.edu,#!93Z&wMcs,user,2025-04-20 16:46:20.335822+00:00,False
69,alex.johnson69@my.msutexas.edu,(o(^X4SsTo,user,2025-04-20 16:46:20.336099+00:00,False
70,kyle.beck70@my.msutexas.edu,2fgw5OPf!8,user,2025-04-20 16:46:20.336351+00:00,False
71,kara.garcia71@my.msutexas.edu,$+5GSbqohm,user,2025-04-20 16:46:20.336618+00:00,False
72,joe.davis72@my.msutexas.edu,mKDhFfXy&0,user,2025-04-20 16:46:20.336891+00:00,False
73,brittany.jones73@my.msutexas.edu,I)39bZJe%s,user,2025-04-20 16:46:20.337185+00:00,False
74,charles.young74@my.msutexas.edu,9!yf5@sZPI,user,2025-04-20 16:46:20.337483+00:00,False
75,katie.anderson75@my.msutexas.edu,)7NegE++!$,user,2025-04-20 16:46:20.337741+00:00,False
76,christian.duncan76@my.msutexas.edu,%kk(V2Mrv2,user,2025-04-20 16:46:20.338000+00:00,False
77,christine.wilson77@my.msutexas.edu,#+t7Zw55Lm,user,2025-04-20 16:46:20.338266+00:00,False
78,mark.terry78@my.msutexas.edu,I2QA0Yri#Q,user,2025-04-20 16:46:20.338535+00:00,False
79,eric.wagner79@my.msutexas.edu,0#1XcrnnV*,user,2025-04-20 16:46:20.338778+00:00,False
80,yesenia.weaver80@my.msutexas.edu,(*u9#K%hT1,user,2025-04-20 16:46:20.339020+00:00,False
81,jennifer.braun81@my.msutexas.edu,E0+A7Ykl^o,user,2025-04-20 16:46:20.339274+00:00,False
82,kevin.guzman82@my.msutexas.edu,)p4$JiuD!K,user,2025-04-20 16:46:20.339530+00:00,False
83,donald.cox83@my.msutexas.edu,+16OlgzO6S,user,2025-04-20 16:46:20.339787+00:00,False
84,john.mccoy84@my.msutexas.edu,U6lbWTH0*y,user,2025-04-20 16:46:20.340042+00:00,False
85,jim.harris85@my.msutexas.edu,f#1zuKqaPd,user,2025-04-20 16:46:20.340288+00:00,False
86,andrew.griffin86@my.msutexas.edu,&57TWxcV$y,user,2025-04-20 16:46:20.340532+00:00,False
87,daniel.warner87@my.msutexas.edu,s(6H*YqM#p,user,2025-04-20 16:46:20.340793+00:00,False
88,mary.cuevas88@my.msutexas.edu,#qbm4Tt*J_,user,2025-04-20 16:46:20.341059+00:00,False
89,carl.galvan89@my.msutexas.edu,&_vBpmEH32,user,2025-04-20 16:46:20.341303+00:00,False
90,barbara.moore90@my.msutexas.edu,eYYB+6Xpu!,user,2025-04-20 16:46:20.341559+00:00,False
91,jacqueline.wagner91@my.msutexas.edu,Y)q8Kpij@k,user,2025-04-20 16:46:20.341807+00:00,False
92,richard.casey92@my.msutexas.edu,d(0ThvaLrz,user,2025-04-20 16:46:20.342064+00:00,False
93,emily.chavez93@my.msutexas.edu,O62KEn_q!g,user,2025-04-20 16:46:20.342390+00:00,False
94,samantha.potts94@my.msutexas.edu,_8sDHe)spR,user,2025-04-20 16:46:20.342707+00:00,False
95,kaylee.larson95@my.msutexas.edu,48E1ROvO)1,user,2025-04-20 16:46:20.342984+00:00,False
96,rebecca.gardner96@my.msutexas.edu,QuZ0GFyew#,user,2025-04-20 16:46:20.343219+00:00,False
97,shannon.hill97@my.msutexas.edu,y2ED#Sl&@N,user,2025-04-20 16:46:20.343469+00:00,False
98,sylvia.hughes98@my.msutexas.edu,D*C9IKb7c%,user,2025-04-20 16:46:20.343742+00:00,False
99,michele.martin99@my.msutexas.edu,g^5Hei7^VX,user,2025-04-20 16:46:20.343985+00:00,False
100,mathew.edwards100@my.msutexas.edu,4d1A5yZO+&,user,2025-04-20 16:46:20.344228+00:00,False
101,brian.greene101@my.msutexas.edu,_#&Vz0Jxt),user,2025-04-20 16:46:20.344473+00:00,False
102,christopher.wade102@my.msutexas.edu,)tD5aJad*$,user,2025-04-20 16:46:20.344716+00:00,False
103,joshua.brooks103@my.msutexas.edu,!Jw15LzeNl,user,2025-04-20 16:46:20.344963+00:00,False
104,ronald.horton104@my.msutexas.edu,kmf7E^$h&H,user,2025-04-20 16:46:20.345213+00:00,False
105,carol.rivera105@my.msutexas.edu,+Ze49Rj4#U,user,2025-04-20 16:46:20.345457+00:00,False
106,diane.bishop106@my.msutexas.edu,+5ZuFAEum8,user,2025-04-20 16:46:20.345703+00:00,False
107,shannon.miller107@my.msutexas.edu,v1h4RGg%)0,user,2025-04-20 16:46:20.345943+00:00,False
108,shannon.collins108@my.msutexas.edu,!g1%2VIrDn,user,2025-04-20 16:46:20.346185+00:00,False
109,emily.green109@my.msutexas.edu,U9T5f_0e&3,user,2025-04-20 16:46:20.346425+00:00,False
110,tara.mullins110@my.msutexas.edu,5kyoJr9+&i,user,2025-04-20 16:46:20.346688+00:00,False
111,sharon.fisher111@my.msutexas.edu,!68Ro#CA3),user,2025-04-20 16:46:20.346941+00:00,False
112,kelly.shah112@my.msutexas.edu,Sp@3fGEeUo,user,2025-04-20 16:46:20.347183+00:00,False
113,stephanie.smith113@my.msutexas.edu,!%9KTJbk4L,user,2025-04-20 16:46:20.347414+00:00,False
114,cynthia.morgan114@my.msutexas.edu,b122WANaB),user,2025-04-20 16:46:20.347660+00:00,False
115,jackson.ellis115@my.msutexas.edu,a2XY_upg@v,user,2025-04-20 16:46:20.347893+00:00,False
116,angel.melendez116@my.msutexas.edu,&dI5D+sufr,user,2025-04-20 16:46:20.348135+00:00,False
117,alicia.dixon117@my.msutexas.edu,)!%8Ydk@((,user,2025-04-20 16:46:20.348386+00:00,False
118,vanessa.crane118@my.msutexas.edu,vovF9Gc@^6,user,2025-04-20 16:46:20.348645+00:00,False
119,daryl.johnson119@my.msutexas.edu,)57xkIqijB,user,2025-04-20 16:46:20.348950+00:00,False
120,amy.rivera120@my.msutexas.edu,q%n8qeRzMr,user,2025-04-20 16:46:20.349272+00:00,False
121,stephanie.gilbert121@my.msutexas.edu,M(g_6IoFKe,user,2025-04-20 16:46:20.349530+00:00,False
122,diane.frederick122@my.msutexas.edu,@EL$7NsxZE,user,2025-04-20 16:46:20.349780+00:00,False
123,ethan.bowen123@my.msutexas.edu,sk0wM0rHk$,user,2025-04-20 16:46:20.350019+00:00,False
124,dwayne.lewis124@my.msutexas.edu,_68k!AQt@a,user,2025-04-20 16:46:20.350266+00:00,False
125,steven.mays125@my.msutexas.edu,97^KHFc8%k,user,2025-04-20 16:46:20.350516+00:00,False
126,melissa.williams126@my.msutexas.edu,z&&y3iWtmg,user,2025-04-20 16:46:20.350786+00:00,False
127,jonathon.chandler127@my.msutexas.edu,^Z%($3GggV,user,2025-04-20 16:46:20.351043+00:00,False
128,marvin.farmer128@my.msutexas.edu,()6NpUUlRj,user,2025-04-20 16:46:20.351301+00:00,False
129,rhonda.williams129@my.msutexas.edu,_z50DKRcj&,user,2025-04-20 16:46:20.351582+00:00,False
130,sean.cannon130@my.msutexas.edu,Hh&v4mEtEh,user,2025-04-20 16:46:20.351835+00:00,False
131,kenneth.patterson131@my.msutexas.edu,t)BrmYVh&8,user,2025-04-20 16:46:20.352088+00:00,False
132,catherine.carr132@my.msutexas.edu,k46LvrUs+R,user,2025-04-20 16:46:20.352342+00:00,False
133,tommy.fitzpatrick133@my.msutexas.edu,Gr8MOWZS7$,user,2025-04-20 16:46:20.352574+00:00,False
134,adam.green134@my.msutexas.edu,@C0aYhS@4r,user,2025-04-20 16:46:20.352869+00:00,False
135,jason.hernandez135@my.msutexas.edu,Wy4NI*ni+P,user,2025-04-20 16:46:20.353129+00:00,False
136,stacey.burnett136@my.msutexas.edu,#a2cRSsjXa,user,2025-04-20 16:46:20.353374+00:00,False
137,amy.turner137@my.msutexas.edu,8DDKzskV+b,user,2025-04-20 16:46:20.353640+00:00,False
138,stephen.wilkerson138@my.msutexas.edu,*$L7^L*i90,user,2025-04-20 16:46:20.353893+00:00,False
139,holly.cole139@my.msutexas.edu,8OLsW7AsV#,user,2025-04-20 16:46:20.354159+00:00,False
140,joseph.lane140@my.msutexas.edu,6NB3S4ol_e,user,2025-04-20 16:46:20.354424+00:00,False
141,ryan.holland141@my.msutexas.edu,#iA4Ma@0%$,user,2025-04-20 16:46:20.354677+00:00,False
142,erin.thomas142@my.msutexas.edu,5w9QO4_y%&,user,2025-04-20 16:46:20.354947+00:00,False
143,allison.thompson143@my.msutexas.edu,R$+6PqMF5N,user,2025-04-20 16:46:20.355201+00:00,False
144,jennifer.jones144@my.msutexas.edu,^#9Zbs^Q)2,user,2025-04-20 16:46:20.355461+00:00,False
145,anthony.perry145@my.msutexas.edu,67$2Bc9u+K,user,2025-04-20 16:46:20.355740+00:00,False
146,erin.hamilton146@my.msutexas.edu,&L0QQk&@dx,user,2025-04-20 16:46:20.356000+00:00,False
147,megan.perry147@my.msutexas.edu,MKz^9RaIDH,user,2025-04-20 16:46:20.356247+00:00,False
148,william.cole148@my.msutexas.edu,Ad1QECjp)6,user,2025-04-20 16:46:20.356489+00:00,False
149,derek.ingram149@my.msutexas.edu,%9DgRc9Yf%,user,2025-04-20 16:46:20.356736+00:00,False
150,julie.santiago150@my.msutexas.edu,2Z##3Sc+Rh,user,2025-04-20 16:46:20.357004+00:00,False
151,sheri.weaver151@my.msutexas.edu,@31)VGhz!#,user,2025-04-20 16:46:20.357249+00:00,False
152,wesley.hoover152@my.msutexas.edu,@51$vUKrv$,user,2025-04-20 16:46:20.357504+00:00,False
153,raymond.bowers153@my.msutexas.edu,)Rv&6PgOvU,user,2025-04-20 16:46:20.357796+00:00,False
154,brittany.adams154@my.msutexas.edu,K%8nOP1#Hw,user,2025-04-20 16:46:20.358046+00:00,False
155,madison.melton155@my.msutexas.edu,LDmtKMpn*3,user,2025-04-20 16:46:20.358293+00:00,False
156,david.henson156@my.msutexas.edu,%2oYq_WoPQ,user,2025-04-20 16:46:20.358524+00:00,False
157,danny.taylor157@my.msutexas.edu,Svd69Gum+^,user,2025-04-20 16:46:20.358767+00:00,False
158,johnny.smith158@my.msutexas.edu,%w!dOJ1MH1,user,2025-04-20 16:46:20.359019+00:00,False
159,edward.huff159@my.msutexas.edu,DQAcqkJx!3,user,2025-04-20 16:46:20.359278+00:00,False
160,cindy.payne160@my.msutexas.edu,#SG(EEas7V,user,2025-04-20 16:46:20.359523+00:00,False
161,jennifer.garrett161@my.msutexas.edu,d1$6^Wr2!_,user,2025-04-20 16:46:20.359778+00:00,False
162,jeff.martinez162@my.msutexas.edu,#^91Y)s#+),user,2025-04-20 16:46:20.360009+00:00,False
163,william.richards163@my.msutexas.edu,h1GosTP*_7,user,2025-04-20 16:46:20.360266+00:00,False
164,eugene.lee164@my.msutexas.edu,$5_iMDXv%k,user,2025-04-20 16:46:20.360518+00:00,False
165,timothy.gilbert165@my.msutexas.edu,L@5SIfnk&$,user,2025-04-20 16:46:20.360784+00:00,False
166,paul.wong166@my.msutexas.edu,E)Z9RXxk3n,user,2025-04-20 16:46:20.361046+00:00,False
167,keith.davis167@my.msutexas.edu,(qgTk9gl#7,user,2025-04-20 16:46:20.361316+00:00,False
168,kevin.sanders168@my.msutexas.edu,Qq$2eOrr(_,user,2025-04-20 16:46:20.361562+00:00,False
169,deborah.porter169@my.msutexas.edu,%mZsUM5X)9,user,2025-04-20 16:46:20.361982+00:00,False
170,mary.tran170@my.msutexas.edu,^yTx4w588p,user,2025-04-20 16:46:20.362235+00:00,False
171,darlene.bailey171@my.msutexas.edu,%^90W4vZ_I,user,2025-04-20 16:46:20.362506+00:00,False
172,melinda.tanner172@my.msutexas.edu,%TA7MI^qgR,user,2025-04-20 16:46:20.362773+00:00,False
173,erica.chen173@my.msutexas.edu,^xJl%#3%9f,user,2025-04-20 16:46:20.363030+00:00,False
174,mark.campbell174@my.msutexas.edu,SW1*D_Jv5&,user,2025-04-20 16:46:20.363285+00:00,False
175,kristen.hooper175@my.msutexas.edu,O3EIAU1f&x,user,2025-04-20 16:46:20.363626+00:00,False
176,travis.dixon176@my.msutexas.edu,&Qx*1pjg8_,user,2025-04-20 16:46:20.363892+00:00,False
177,sally.gray177@my.msutexas.edu,1wRFl2v+*b,user,2025-04-20 16:46:20.364163+00:00,False
178,lori.thomas178@my.msutexas.edu,1t&4HSTlmv,user,2025-04-20 16:46:20.364397+00:00,False
179,joann.edwards179@my.msutexas.edu,OT)r0NTu$7,user,2025-04-20 16:46:20.364652+00:00,False
180,amy.johnson180@my.msutexas.edu,Th1Woj5F^7,user,2025-04-20 16:46:20.364928+00:00,False
181,jason.allen181@my.msutexas.edu,TKY(JGzc@6,user,2025-04-20 16:46:20.365183+00:00,False
182,michael.hendricks182@my.msutexas.edu,+BX01hVh39,user,2025-04-20 16:46:20.365425+00:00,False
183,nathan.mejia183@my.msutexas.edu,*ziHjC&M$3,user,2025-04-20 16:46:20.365682+00:00,False
184,leah.ferguson184@my.msutexas.edu,@T0+yHzX*J,user,2025-04-20 16:46:20.365995+00:00,False
185,jessica.palmer185@my.msutexas.edu,Ly7Xshvw*6,user,2025-04-20 16:46:20.366283+00:00,False
186,lisa.gross186@my.msutexas.edu,#VF8Sf&x+q,user,2025-04-20 16:46:20.366563+00:00,False
187,ryan.roberts187@my.msutexas.edu,J&Au3Rfqvz,user,2025-04-20 16:46:20.366821+00:00,False
188,lindsay.anderson188@my.msutexas.edu,*N94XxAZN^,user,2025-04-20 16:46:20.367092+00:00,False
189,james.jones189@my.msutexas.edu,m_50FC3af5,user,2025-04-20 16:46:20.367424+00:00,False
190,misty.wong190@my.msutexas.edu,6&U8MEKq!t,user,2025-04-20 16:46:20.367702+00:00,False
191,robert.walker191@my.msutexas.edu,Ht4hCy5^1@,user,2025-04-20 16:46:20.367961+00:00,False
192,anna.banks192@my.msutexas.edu,$3JQgMzsad,user,2025-04-20 16:46:20.368229+00:00,False
193,susan.scott193@my.msutexas.edu,%D5TULpw38,user,2025-04-20 16:46:20.368508+00:00,False
194,robert.sullivan194@my.msutexas.edu,(I50zQsl0B,user,2025-04-20 16:46:20.368769+00:00,False
195,david.bernard195@my.msutexas.edu,h(5C2Yxp6s,user,2025-04-20 16:46:20.369049+00:00,False
196,adam.thomas196@my.msutexas.edu,$Jf8V+Fy^n,user,2025-04-20 16:46:20.369306+00:00,False
197,leslie.bates197@my.msutexas.edu,GUDES0Ux_O,user,2025-04-20 16:46:20.369572+00:00,False
198,jacqueline.chambers198@my.msutexas.edu,#qqS6IyYZU,user,2025-04-20 16:46:20.369804+00:00,False
199,matthew.hutchinson199@my.msutexas.edu,_Nw1NdjX6Z,user,2025-04-20 16:46:20.370077+00:00,False
200,jason.underwood200@my.msutexas.edu,@2#pR848%u,user,2025-04-20 16:46:20.370323+00:00,False
